Gene,log2FC,pvalue,FDR
Tubg1,0.796097577,7.01E-60,5.29E-59
Tsga10,-0.342771408,2.25E-05,4.01E-05
Nr2c1,-0.265431183,1.38E-13,3.52E-13
Timm13,1.042766497,8.93E-67,7.59E-66
Ctsz,1.027285195,4.34E-47,2.57E-46
Cox5a,0.331488336,2.16E-05,3.85E-05
Gpr37l1,-0.882287895,0.022546162,0.031616138
Hdgfl3,-0.666096809,2.06E-28,7.97E-28
Ppp1r32,-1.584896566,1.81E-12,4.44E-12
Mrgprx3,4.512096526,7.66E-51,4.86E-50
Il13ra1,-0.771184597,3.45E-07,6.78E-07
Lipogenin,1.498001608,0.048069393,0.064867149
Zwint,-0.633127538,3.16E-22,1.04E-21
Itgb5,-0.822469461,1.72E-16,4.86E-16
Frmd6,-1.502058385,3.48E-55,2.40E-54
Slc35a4,0.157718823,0.002199362,0.003392207
Cacna1b,1.30725915,4.04E-07,7.93E-07
Cenpf,6.52625269,8.03E-271,5.61E-269
LOC257650,-0.306350811,0.000580048,0.000937149
Art5,4.158299168,0.000383125,0.000627317
Casc3,-0.215866199,0.000841154,0.001343086
Dclre1c,0.609860967,1.64E-18,4.92E-18
Rwdd1,-0.660686699,1.94E-27,7.36E-27
Osbpl1a,-0.120871273,0.012382377,0.017821467
Npw,1.475811153,1.62E-07,3.25E-07
Ppp1r14b,0.640765296,6.55E-19,1.98E-18
Ppp1r14d,-0.567466871,0.007240356,0.010655591
Ppm1g,1.563101583,1.67E-227,8.56E-226
Dock9,-3.169452995,4.80E-77,4.85E-76
Nr1d2,-1.227578741,7.74E-25,2.73E-24
Wipf3,-1.717741842,9.89E-12,2.36E-11
Kcnip4,-5.134583077,3.83E-48,2.32E-47
Slc16a2,-3.388638782,9.85E-31,4.04E-30
Erc2,1.160747999,6.17E-08,1.26E-07
Aptx,-0.869102735,2.75E-42,1.47E-41
Ostf1,0.981549159,2.41E-41,1.26E-40
Brs3,9.769592218,1.89E-130,3.86E-129
F7,1.922424469,2.81E-17,8.12E-17
Fkbp4,0.630761596,1.01E-24,3.55E-24
Snx27,0.367743573,3.61E-12,8.77E-12
Ly49i2,2.784503701,8.36E-07,1.61E-06
Homez,-1.007108339,2.44E-17,7.05E-17
Adgrg1,-1.70420006,4.92E-64,4.01E-63
Fndc5,2.839716424,1.77E-19,5.44E-19
Carhsp1,0.858736106,5.24E-32,2.21E-31
Gpr156,-2.743357975,3.80E-31,1.57E-30
Aurka,4.785487828,0,0
Cops2,-0.312629577,3.58E-11,8.36E-11
Sfxn5,-1.48408982,1.47E-23,5.02E-23
Tomm20,-0.167559361,0.003590883,0.005445875
Aldh1a3,-2.999924723,3.61E-36,1.68E-35
Dcps,0.362748103,8.65E-16,2.39E-15
Tor1a,0.332648562,3.73E-08,7.69E-08
Fzd9,1.103479711,0.020842861,0.029336087
Fadd,-0.203635308,0.04378321,0.059362167
Ptpn9,-0.890939886,3.22E-55,2.23E-54
Slc4a9,0.911174128,0.011681075,0.016847354
Grina,0.21758357,0.004009559,0.006050216
Riox2,0.279832358,6.43E-05,0.000111128
St18,-1.039364642,4.73E-06,8.78E-06
Tmprss5,-1.081930112,3.99E-06,7.43E-06
Dhrs4,-1.740310079,3.18E-156,8.48E-155
Slc35e4,-1.215814995,4.43E-18,1.31E-17
Rab8b,1.381200349,6.96E-82,7.51E-81
Cyp4f6,-2.123337926,5.70E-44,3.17E-43
Gjc1,-3.201071689,1.18E-47,7.09E-47
Gzma,-1.837192763,2.57E-13,6.53E-13
Pkig,-1.44425552,2.22E-29,8.80E-29
Lzts1,-4.352977232,4.83E-77,4.88E-76
Myo7a,1.103291727,9.86E-17,2.80E-16
Fzd3,-1.353094018,1.77E-09,3.85E-09
Zscan12,0.180348363,0.003107758,0.004734777
Dab1,-1.367356321,0.021146985,0.029737257
Npc1,-0.718677699,2.66E-16,7.45E-16
Slc12a8,-2.861564321,1.63E-41,8.56E-41
Npas4,2.317940822,1.63E-08,3.41E-08
Adgrg2,-3.933959298,6.54E-73,6.17E-72
Sec11c,0.838543913,1.12E-31,4.68E-31
Hspa4,-0.10742678,0.020584931,0.028990983
Nalcn,-1.899373065,3.33E-05,5.86E-05
Cyp4v3,-0.88986555,1.08E-17,3.15E-17
Mrgprf,-3.390935414,3.54E-27,1.33E-26
Rcan1,-0.612708944,3.31E-09,7.15E-09
Soat2,-3.32814172,9.42E-29,3.67E-28
Klhl12,1.416983682,7.25E-82,7.82E-81
Zfp709,-0.15397412,0.009893949,0.014370708
Zfp597,-0.673062766,2.30E-06,4.33E-06
Serpinb10,7.471605585,2.72E-206,1.18E-204
Nptx1,-1.569458726,0.000142066,0.000239658
Vom2r44,-1.430401564,1.05E-19,3.24E-19
Rimbp2,-4.245928508,4.02E-43,2.18E-42
Eaf2,4.518317591,5.07E-60,3.84E-59
Zscan26,-1.266278168,9.73E-83,1.07E-81
Alk,1.303578337,1.07E-10,2.46E-10
Has3,-2.413441724,1.90E-62,1.50E-61
Erc1,-2.155273046,2.36E-184,8.36E-183
Duox1,-2.944661196,3.78E-70,3.42E-69
Lrrcc1,1.314931146,8.00E-78,8.20E-77
Sclt1,1.411352449,2.32E-101,3.31E-100
Prrx1,-1.317282395,1.87E-14,4.92E-14
Sars1,0.221177041,4.54E-08,9.32E-08
Rims4,-2.805983678,3.75E-18,1.11E-17
Slc13a5,3.055521576,1.73E-09,3.76E-09
Kcnj14,0.404185844,0.000274009,0.000453168
Lzts3,-1.831265634,1.04E-31,4.35E-31
Txndc9,0.128438536,0.000175621,0.000294467
Arid1b,-0.265046317,1.86E-08,3.88E-08
Stab2,5.224706026,2.36E-135,5.08E-134
Fzd6,-2.289095382,4.42E-55,3.05E-54
Wnt5b,-1.286198525,3.99E-10,8.94E-10
Fbln2,-5.457529116,5.17E-113,8.53E-112
Mtmr9,-1.048610944,6.53E-23,2.20E-22
Mrfap1,0.275795903,2.91E-08,6.04E-08
Muc6,-0.769826333,0.001413776,0.002216725
Cttnbp2,-2.365455235,3.68E-38,1.80E-37
Pxmp4,-0.527982674,2.01E-16,5.64E-16
Mbnl1,0.455950346,5.79E-17,1.66E-16
Impa2,0.245544151,0.005022488,0.007505065
Slc6a15,1.240005852,0.002851872,0.004360421
Pycard,1.578241345,4.40E-47,2.61E-46
Ppif,1.554295824,2.43E-47,1.45E-46
Trpc7,-1.619611987,4.21E-06,7.83E-06
Elavl3,4.02570627,3.57E-06,6.67E-06
Zfp161,0.769764688,1.64E-53,1.09E-52
Elac2,-0.41235205,2.59E-27,9.75E-27
Aip,-0.543951695,1.59E-26,5.87E-26
Ccr9,2.014112583,8.80E-09,1.86E-08
Zp4,-3.507175894,2.64E-06,4.95E-06
Wrnip1,0.091399653,0.020170229,0.028436716
Fibp,0.181642522,6.23E-05,0.000107872
Gm2a,-2.31117771,6.36E-87,7.36E-86
Mc2r,-5.768918059,1.36E-195,5.33E-194
Atf5,-2.398936397,1.88E-55,1.30E-54
Sorbs3,-1.33913099,8.35E-50,5.21E-49
Rffl,1.286298396,3.35E-71,3.08E-70
Aqp11,-0.657993434,6.76E-06,1.24E-05
Wfdc2,-1.174494304,2.13E-11,5.02E-11
Parm1,-1.717969329,5.63E-55,3.87E-54
Sgpl1,-2.188383333,3.60E-120,6.56E-119
Dpy30,1.057761231,6.90E-100,9.67E-99
Hsbp1,-0.375567781,1.02E-13,2.63E-13
Selenos,-0.500788825,1.35E-16,3.83E-16
Cyp4f5,-1.86703002,3.11E-74,3.00E-73
Pdia6,-0.566279063,8.28E-22,2.70E-21
Smim3,1.463973294,6.53E-50,4.09E-49
Krt20,-4.176800115,8.73E-13,2.17E-12
Testin,-2.416428106,8.99E-25,3.17E-24
Phax,0.291916637,3.21E-11,7.51E-11
Mx2,-0.567944042,8.26E-06,1.51E-05
Cdk5rap2,1.582915771,6.98E-89,8.27E-88
Akr1b8,-1.778722398,4.46E-37,2.13E-36
Fads3,-3.361995733,9.83E-205,4.20E-203
Dlgap3,2.028884718,3.37E-05,5.93E-05
Gnat3,-4.556825404,7.73E-51,4.91E-50
Tfpi2,0.57918827,5.65E-05,9.81E-05
Stk16,0.120006212,0.012229539,0.017609203
Abi2,-0.315383509,6.45E-10,1.43E-09
Dlgap4,-1.099998094,3.80E-40,1.93E-39
Vps54,0.817110208,1.68E-58,1.23E-57
Havcr1,3.376575881,9.10E-15,2.42E-14
Pex5l,1.006737287,0.03560254,0.048832377
Gimap4,-0.315457628,0.004525037,0.006798126
Clmp,-4.087952242,1.53E-291,1.22E-289
Np4,15.66382944,0,0
Abra,4.13568541,8.06E-05,0.000138431
Abca5,-2.232608219,3.48E-15,9.42E-15
Fut11,-1.139828076,3.54E-59,2.64E-58
Ptar1,1.068632397,8.18E-17,2.33E-16
Chst15,-0.24589716,0.039659926,0.054056635
Skap1,-0.472559236,0.003964484,0.005986998
Gcnt3,-0.790177023,0.008201322,0.012001777
Tmsb15b2,-1.080232425,1.06E-17,3.10E-17
Zfp455,0.431607269,0.00010196,0.000173825
Tox4,0.107650698,0.010268882,0.014885326
Taok1,-1.042494919,8.84E-84,9.81E-83
Lgr4,-2.502750742,1.73E-46,1.02E-45
Defa5,14.96385388,4.42E-307,3.90E-305
Zfp689,0.716849792,2.48E-37,1.19E-36
Mapk15,-1.186837872,0.007567331,0.011111924
Zfand4,-0.546161022,1.21E-12,2.99E-12
Camk2n1,-1.912539473,1.05E-16,2.98E-16
Ceacam4,4.320916162,3.34E-46,1.94E-45
Tnfrsf17,4.476881017,3.20E-53,2.12E-52
Nubp1,0.522454626,1.18E-28,4.60E-28
Clec16a,0.815408013,1.24E-49,7.71E-49
Sec14l5,3.968496692,1.37E-55,9.57E-55
Nmral1,1.492756612,9.87E-169,2.96E-167
Magmas-ps1,-1.171742918,3.63E-08,7.48E-08
Trap1,-0.561049296,5.50E-52,3.57E-51
Nlrc3,0.798072558,1.86E-06,3.52E-06
Zfp263,0.35619213,7.95E-07,1.53E-06
Zfp213,-0.428476187,5.07E-09,1.08E-08
Cldn9,0.900768128,0.010909016,0.015773819
Pkmyt1,2.924720639,9.50E-200,3.82E-198
Prss30,-3.320443723,2.05E-07,4.08E-07
Kctd5,0.241761707,3.35E-06,6.26E-06
Tbc1d24,1.684921292,2.06E-137,4.53E-136
Rnps1,1.178730439,3.56E-181,1.21E-179
Pgp,1.449815968,2.68E-142,6.21E-141
Rpl3l,4.62881436,6.08E-30,2.44E-29
Nubp2,0.789408118,6.26E-32,2.64E-31
Mrps34,0.41398078,2.04E-08,4.24E-08
Cramp1,0.274298404,1.35E-05,2.44E-05
Tmem204,-1.448614582,3.78E-36,1.76E-35
Ccdc154,-0.870396337,0.001896412,0.002943054
Prss29,12.15125909,2.90E-240,1.65E-238
Prss34,9.26343678,2.03E-157,5.46E-156
Chtf18,2.725213795,1.65E-231,8.76E-230
Rpusd1,-0.33145367,0.000497822,0.000807698
Antkmt,-0.344263736,2.90E-06,5.43E-06
Metrn,1.812713582,4.57E-33,1.98E-32
Stub1,-0.542402132,2.08E-22,6.92E-22
Rhot2,0.177335493,0.034526854,0.047436142
Pigq,2.363809808,3.45E-250,2.11E-248
Pdia2,5.786328694,7.52E-220,3.66E-218
Hba-a3,6.925135195,0,0
Hbz,4.375112966,1.69E-12,4.14E-12
Snrnp25,1.39035549,2.98E-83,3.29E-82
Bod1,-0.863170445,3.04E-10,6.85E-10
Ergic1,-1.530488434,3.87E-107,5.97E-106
Ubtd2,-1.705175515,1.78E-58,1.31E-57
Nudcd2,1.417605373,1.16E-139,2.63E-138
Rnf145,0.809224924,1.39E-36,6.56E-36
Timd2,2.649552668,1.05E-07,2.12E-07
RGD1559575,1.640939114,9.40E-42,4.96E-41
Cnot6,1.136989628,5.83E-121,1.07E-119
Clk4,0.649682906,1.25E-24,4.38E-24
Nhp2,1.351848681,4.64E-147,1.13E-145
Sec24a,-1.031157986,1.44E-79,1.50E-78
Sar1b,0.835324463,5.99E-05,0.000103854
Cdkn2aipnl,0.714247017,9.91E-33,4.27E-32
Skp1,-0.196403183,0.001470941,0.002303425
Shroom1,-2.23077063,5.63E-13,1.41E-12
Mfap3,-0.441635828,4.21E-07,8.26E-07
Mrpl22,0.419407653,5.55E-15,1.49E-14
