Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2021_Human__Retinol metabolism,-0.5420875473812643,-1.9423752013815339,0.0,0.012517304120909987,0.53,23/28,36.08%,Retsat;Aldh1a2;Awat2;Cyp26b1;Aox1;Rdh8;Aldh1a3;Ugt1a6;Dgat1;Dhrs3;Cyp1a1;Ugt1a1;Dhrs4;Dhrs9;Rdh11;Ugt1a8;Lrat;Bco1;Cyp26a1;Sdr16c5;Pnpla4;Rdh13;Rdh16
prerank,"GO_Biological_Process_2021__protein localization to chromosome, centromeric region (GO:0071459)",0.7103440915872506,1.9421537827008881,0.0,0.003562954355193327,0.49,13/16,24.75%,Cdk1;Ttk;Aurkb;Knl1;Cenpa;Spdl1;Zwilch;Haspin;Mtbp;Bub3;Ctcf;Rb1;Zw10
prerank,GO_Biological_Process_2021__cholesterol homeostasis (GO:0042632),-0.43855306184122783,-1.9411580698438906,0.0,0.01253140451469698,0.53,21/48,19.52%,Lpl;Cav1;Mall;Dgat2;Soat2;Gpihbp1;Insig1;Cyp39a1;Lima1;Acsm1;Abca1;Abca5;Lrp5;Scarb1;Nr1h3;Nr1d1;Abcg1;Ephx2;Abcg5;Rora;Pla2g10
prerank,GO_Biological_Process_2021__regulation of double-strand break repair via homologous recombination (GO:0010569),0.5800309467939867,1.940080688873209,0.0,0.0035857980712583693,0.5,21/39,30.78%,Fignl1;Parpbp;Polq;Rmi2;Rad51;Rad51ap1;Timeless;Usp51;Was;Rpa2;Chek1;Fancb;Smchd1;Helb;Rif1;Ubqln4;Shld3;Wrap53;Ppp4c;Actr2;Parp1
prerank,GO_Biological_Process_2021__mesenchyme morphogenesis (GO:0072132),-0.6845700494960689,-1.9395070816787592,0.0,0.012809349155177516,0.53,11/15,20.23%,Isl1;Bmpr1a;Nos3;Nog;Tbx2;Acvrl1;Eng;Hey1;Heyl;Tgfb2;Acvr1
prerank,GO_Biological_Process_2021__endothelial cell migration (GO:0043542),-0.5568340533042122,-1.939026187630187,0.0,0.012689635611671182,0.53,19/30,34.80%,Loxl2;Ccn3;Lgals12;Cdh5;Fstl1;Nos3;Vegfa;Emp2;Cdh13;Plxnd1;Stard13;Id1;Nrp1;Sox18;Tnfsf12;Adgra2;Prkx;Abl1;Cyp1b1
prerank,Reactome_2022__Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,0.5570843543621302,1.9369025741948251,0.0,0.003649877204477919,0.51,18/36,21.55%,Exo1;Bard1;Rmi2;Brca1;Rad51;Blm;Rad51c;Rfc4;Rfc3;Brip1;Rpa3;Rfc2;Xrcc2;Rfc5;Topbp1;Chek1;Brca2;Rhno1
prerank,GO_Biological_Process_2021__sterol homeostasis (GO:0055092),-0.4343177449525226,-1.936879129796446,0.0,0.012701748665901492,0.53,21/49,19.52%,Lpl;Cav1;Mall;Dgat2;Soat2;Gpihbp1;Insig1;Cyp39a1;Lima1;Acsm1;Abca1;Abca5;Lrp5;Scarb1;Nr1h3;Nr1d1;Abcg1;Ephx2;Abcg5;Rora;Pla2g10
prerank,KEGG_2021_Human__Ribosome,0.46093859108625,1.9348684802460188,0.0,0.003713285352009306,0.52,84/117,38.19%,Rpl3l;Rps12;Rpl18a;Rplp0;Rps2;Rpl13;Rps29;Rps5;Rps10;Rps18;Rps17;Rpl38;Rpl12;Rps27a;Rpl22l1;Rpl8;Rps8;Mrpl18;Rps20;Rpl17;Rplp2;Rps14;Rps15;Rpl10a;Rps6;Rpl36a;Rpl41;Rpl22;Rps23;Rps28;Rps7;Rps24;Rpl36;Rps15a;Uba52;Rps13;Rpl18;Rpl15;Fau;Rpsa;Rps26;Rpl27;Rpl27a;Rpl34;Rpl24;Rpl4;Rps27;Rpl13a;Rpl36al;Rpl23;Rpl35;Mrpl14;Rps16;Rps21;Rpl28;Rps3;Rplp1;Rpl3;Mrps12;Rps3a;Rpl23a;Rpl21;Rpl32;Rpl6;Rpl9;Rps11;Rpl19;Rps25;Rpl30;Rpl37;Rpl7a;Rpl7;Rpl11;Rsl24d1;Rpl31;Rpl26;Rps27l;Rps4x;Rpl5;Rpl10;Rpl39;Mrps21;Rpl29;Rpl14
prerank,Reactome_2022__Downstream Signaling Of Activated FGFR1 R-HSA-5654687,-0.6183508657094083,-1.9345223270025962,0.0,0.012842060062884863,0.55,6/18,8.18%,Fgf10;Fgf1;Flrt3;Fgf9;Fgfr1;Flrt2
